time,val
5,22
10,53
16,80
21,73
27,86
32,104
37,103
44,95
49,112
55,124
60,108
65,113
71,133
76,126
82,113
88,129
94,143
99,128
104,126
110,142
115,146
121,132
126,132
133,149
141,135
150,160
160,140
169,155
179,154
188,148
197,166
206,143
216,168
226,159
235,157
244,168
253,147
263,175
272,158
281,162
291,167
301,150
310,174
319,154
328,167
337,162
347,152
357,170
366,146
375,167
385,155
394,151
403,162
412,138
422,164
432,143
441,146
450,149
459,133
468,156
478,127
488,140
497,136
506,125
516,142
525,113
534,130
543,117
552,117
563,128
572,104
581,119
590,98
599,103
608,100
617,116
627,90
635,86
644,81
652,90
660,95
668,100
677,79
686,78
695,73
703,77
711,84
719,89
728,86
736,81
744,80
752,75
761,74
770,72
778,70
786,66
794,66
802,63
811,69
820,78
828,85
836,81
844,79
852,78
861,76
869,75
877,74
886,74
894,72
903,72
911,73
919,84
927,94
935,103
945,81
954,82
962,84
970,95
978,104
988,95
996,96
1004,94
1013,111
1025,109
1035,109
1045,107
1055,107
1065,112
1076,125
1087,133
1097,143
1107,148
1118,144
1128,142
1138,137
1148,134
1160,129
1170,142
1180,149
1190,157
1201,163
1211,170
1222,168
1232,163
1243,157
1253,152
1263,147
1273,154
1284,163
1295,169
1305,173
1315,178
1326,180
1336,170
1346,164
1357,157
1368,149
1378,156
1388,162
1398,166
1409,170
1420,172
1430,172
1440,163
1451,155
1461,148
1471,140
1481,135
1492,143
1503,147
1513,149
1523,154
1533,152
1544,142
1555,133
1565,125
1575,118
1586,111
1596,111
1606,117
1616,123
1628,127
1638,120
1648,112
1658,105
1669,100
1679,93
1689,104
1699,97
1709,83
1718,88
1727,97
1736,79
1745,88
1756,72
1765,79
1774,83
1783,72
1793,84
1802,67
1811,77
1821,73
1830,70
1840,83
1849,64
1858,76
1867,66
1876,73
1887,85
1896,69
1905,81
1914,67
1924,78
1933,84
1942,75
1952,92
1961,76
1971,87
1980,88
1989,85
1998,106
2009,103
2020,102
2030,100
2040,99
