time,val
5,138
11,243
16,317
21,288
27,266
32,312
38,347
44,283
50,295
55,345
60,338
66,277
71,319
77,377
82,318
89,297
94,344
99,361
105,284
110,314
116,357
121,360
130,324
139,326
148,368
157,299
166,374
177,314
186,340
195,360
204,312
214,391
223,286
232,353
242,347
251,323
261,384
270,297
279,363
288,332
297,332
308,375
317,305
326,377
335,317
345,342
354,365
363,314
373,391
382,292
392,353
401,351
410,323
419,387
429,296
439,361
448,331
457,330
466,372
476,303
485,375
494,311
504,338
514,360
523,307
532,384
541,282
550,345
560,342
570,315
579,380
588,289
598,355
607,320
616,322
625,366
635,297
645,363
654,298
663,330
672,352
681,302
691,374
701,276
710,337
719,336
729,310
738,375
747,284
756,350
765,316
776,318
785,363
794,292
803,360
813,295
822,325
831,350
841,299
850,373
860,277
869,337
878,337
887,309
897,375
907,284
916,350
925,322
934,320
944,367
953,296
962,366
972,299
982,330
991,354
1000,305
1010,294
1020,287
1031,327
1042,356
1052,376
1062,384
1073,363
1083,345
1093,331
1104,315
1115,300
1125,287
1135,328
1145,353
1156,374
1167,393
1177,373
1187,355
1198,336
1208,321
1218,309
1228,294
1240,323
1250,353
1260,375
1270,391
1281,381
1291,360
1302,343
1312,325
1323,310
1333,296
1343,320
1353,349
1363,371
1375,390
1385,384
1395,364
1405,345
1416,329
1426,314
1437,297
1447,312
1458,342
1468,366
1478,384
1488,386
1500,364
1510,346
1520,328
1530,312
1541,297
1551,296
1561,331
1572,357
1583,376
1593,384
1603,363
1613,343
1624,325
1635,309
1645,296
1655,281
1666,314
1676,345
1686,367
1696,383
1708,358
1718,340
1728,326
1738,307
1748,292
1759,281
1770,304
1780,334
1790,358
1801,379
1811,363
1821,342
1832,325
1843,309
1853,295
1863,282
1873,296
1884,330
1894,356
1905,377
1915,364
1926,345
1936,329
1946,312
1956,298
1968,286
1978,294
1988,328
1998,356
2009,375
2019,376
2029,353
2040,336
2051,320
2061,306
2071,293
2081,291
2092,328
2103,356
2113,377
2123,386
2134,365
2144,348
2154,331
2165,314
2176,303
2186,290
2196,326
2206,353
2216,376
2227,395
2238,374
2248,353
2258,337
2269,322
2279,308
2289,294
2300,324
2311,355
2321,374
2331,391
2341,382
2352,361
2362,341
2373,324
2383,311
2394,298
2404,318
2414,349
2424,372
2436,391
2446,384
2456,362
2466,345
2477,327
2487,312
2498,297
2508,311
2519,343
2529,364
2539,382
2549,385
2560,365
2571,343
2581,326
2591,312
2601,296
2612,295
2622,330
2633,354
2643,377
2654,386
2664,359
2674,343
2684,326
2695,310
2706,293
2716,280
2726,316
2737,343
2747,365
2757,383
2768,361
2779,342
2789,322
2799,307
2809,295
2820,281
2831,302
2841,337
2851,360
2862,379
2872,361
2882,341
2892,324
2904,310
2914,294
2924,282
2934,300
2945,332
2955,357
2966,377
2976,365
2987,346
2997,327
3007,314
3017,300
3027,286
3039,293
3049,330
3059,355
3069,375
3080,373
3090,355
3101,338
3111,321
3122,306
3132,294
3142,293
3152,329
3164,355
3174,376
3184,386
3194,367
3205,348
3215,330
3225,317
3236,303
3247,289
3257,325
3267,355
3277,377
3288,394
3299,375
3309,356
3319,339
3330,323
3340,309
3350,295
3360,325
3372,352
3382,374
3392,392
3402,382
3412,359
3423,341
3434,327
3444,311
3454,297
3465,319
3475,351
